01 Air	1	10,11
Multinational	Capability	39	10,11
Multinational Specialized Unit	Capability	40	10,11
Multiple Rocket Launcher	Capability	41	10,11
NATO Medical Role 1	Capability	42	10,11
NATO Medical Role 2	Capability	43	10,11
NATO Medical Role 3	Capability	44	10,11
NATO Medical Role 4	Capability	45	10,11
Naval	Capability	46	10,11
Unmanned Aerial Systems (UAS)	Capability	47	10,11
Nuclear	Capability	48	10,11
Operations	Capability	49	10,11
Radar	Capability	50	10,11
Radio Frequency Identification (RFID) Interrogator / Sensor	Capability	51	10,11
Radiological	Capability	52	10,11
Search and Rescue	Capability	53	10,11
Security	Capability	54	10,11
Sensor	Capability	55	10,11
Weapons	Capability	56	10,11
Signals Intelligence	Capability	57	10,11
Armored	Capability	58	10,11
Single Rocket Launcher	Capability	59	10,11
Smoke	Capability	60	10,11
Sniper	Capability	61	10,11
Sound Ranging	Capability	62	10,11
Special Operations Forces (SOF)	Capability	63	10,11
Special Weapons and Tactics	Capability	64	10,11
Survey	Capability	65	10,11
Tactical Exploitation	Capability	66	10,11
Target Acquisition	Capability	67	10,11
Topographic/Geospatial	Capability	68	10,11
Utility	Capability	69	10,11
Video Imagery (Combat Camera)	Capability	70	10,11
Mobility Assault	Capability	71	10,11
Amphibious Warfare Ship	Capability	72	10,11
Load Handling System	Capability	73	10,11
Palletized Load System	Capability	74	10,11
Medevac	Capability	75	10,11
Cyberspace	Capability	76	11
Support	Capability	77	10,11
Aviation	Capability	78	10,11
"Route, Reconnaissance, and Clearance"	Capability	79	10,11
Tilt-Rotor	Capability	80	10,11
Command Post Node	Capability	81	10,11
Joint Network Node	Capability	82	10,11
Retransmission Site	Capability	83	10,11
Assault	Capability	84	10,11
Weapons	Capability	85	10,11
Criminal Investigation Division	Capability	86	10,11
Digital	Capability	87	10,11
Network or Network Operations	Capability	88	10,11
"Airfield, Aerial Port of Debarkation, or Aerial Port of Embarkation"	Capability	89	10,11
Pipeline	Capability	90	10,11
Postal	Capability	91	10,11
Water	Capability	92	10,11
Independent Command	Capability	93	10,11
Theater	Capability	94	10,11
Army or Theater Army	Capability	95	10,11
Corps	Capability	96	10,11
Brigade	Capability	97	10,11
Headquarters or headquarters staff element	Capability	98	10,11
10 Land Unit	2	10,11
Unspecified		0	10,11
Airborne	Mobility	1	10,11
Arctic	Mobility	2	10,11
Battle Damage Repair	Capability	3	10,11
Bicycle Equipped	Mobility	4	10,11
Casualty Staging	Capability	5	10,11
Clearing	Capability	6	10,11
Close Range	Capability	7	10,11
Control	Capability	8	10,11
Decontamination	Capability	9	10,11
Demolition	Capability	10	10,11
Dental	Capability	11	10,11
Digital	Capability	12	10,11
Enhanced Position Location Reporting System (EPLRS)	Capability	13	10,11
Equipment	Capability	14	10,11
Heavy	Capability	15	10,11
High Altitude	Capability	16	10,11
Intermodal	Capability	17	10,11
Intensive Care	Capability	18	10,11
Light	Capability	19	10,11
Laboratory	Capability	20	10,11
Launcher	Capability	21	10,11
Long Range	Capability	22	10,11
Low Altitude	Capability	23	10,11
Medium	Capability	24	10,11
Medium Altitude	Capability	25	10,11
Medium Range	Capability	26	10,11
Mountain	Capability	27	10,11
High to Medium Altitude	Capability	28	10,11
Multi-Channel	Capability	29	10,11
Optical (Flash)	Capability	30	10,11
Pack Animal	Capability	31	10,11
Patient Evacuation Coordination	Capability	32	10,11
Preventive Maintenance	Capability	33	10,11
Psychological	Capability	34	10,11
Radio Relay Line of Sight	Capability	35	10,11
Railroad	Mobility	36	10,11
Recovery (Unmanned Systems)	Capability	37	10,11
Recovery (Maintenance)	Capability	38	10,11
Rescue Coordination Center	Capability	39	10,11
Riverine	Mobility	40	10,11
Single Channel	Capability	41	10,11
Ski	Capability	42	10,11
Short Range	Capability	43	10,11
Strategic	Capability	44	10,11
Support	Capability	45	10,11
Tactical	Capability	46	10,11
Towed	Mobility	47	10,11
Troop	Capability	48	10,11
Vertical or Short Take-Off and Landing (VTOL/VSTOL)	Mobility	49	10,11
Veterinary	Capability	50	10,11
Wheeled	Mobility	51	10,11
High to Low Altitude	Capability	52	10,11
Medium to Low Altitude	Capability	53	10,11
Attack	Capability	54	10,11
Refuel	Capability	55	10,11
Utility	Capability	56	10,11
Combat Search and Rescue	Capability	57	10,11
Guerilla	Capability	58	10,11
Air Assault	Mobility	59	10,11
Amphibious	Mobility	60	10,11
Very Heavy	Capability	61	10,11
Supply	Capability	62	10,11
Cyberspace	Capability	63	11
"Navy Barge, Self-Propelled"	Mobility	64	10,11
"Navy Barge, Not Self-Propelled"	Mobility	65	10,11
Launch	Mobility	66	10,11
Landing Craft	Mobility	67	10,11
Landing Ship	Mobility	68	10,11
Service Craft/Yard	Mobility	69	10,11
Tug Harbor	Mobility	70	10,11
Ocean Going Tug Boat	Mobility	71	10,11
Surface Deployment and Distribution Command	Capability	72	10,11
Noncombatant Generic Vessel	Mobility	73	10,11
Composite	Capability	74	10,11
Shelter	Capability	75	10,11
Light and Medium	Capability	76	10,11
Tracked	Mobility	77	10,11
Security Force Assistance	Capability	78	10,11
11 Land civilian unit/organization	1	10,11
Unspecified		0	10,11
Assassination	Crime	1	10,11
Execution (Wrongful Killing)	Crime	2	10,11
Murder Victims	Crime	3	10,11
Hijacking/Hijacked	Crime	4	10,11
Kidnapping	Crime	5	10,11
Piracy	Crime	6	10,11
Rape	Crime	7	10,11
Civilian	Organization	8	10,11
"Displaced Person(s), Refugee(s) and Evacuee(s)"	Organization	9	10,11
Foreign Fighter(s)	Organization	10	10,11
Gang Member or Gang	Organization	11	10,11
Government Organization	Organization	12	10,11
Leader or Leadership	Organization	13	10,11
Nongovernmental Organization Member or Nongovernmental Organization	Organization	14	10,11
