01 Air	1	10,11
Range Only	Radar	51	10,11
Sonobuoy	Radar	52	10,11
Satellite Downlink	Communications	53	10,11
Space	Radar	54	10,11
Surface Search	Radar	55	10,11
Shell Tracking	Land Radar	56	10,11
Satellite Uplink	Communications	57	10,11
Target Acquisition	Radar	58	10,11
Target Illumination	Radar	59	10,11
Tropospheric Scatter	Communications	60	10,11
Target Tracking	Radar	61	10,11
Unknown	Radar	62	10,11
Video Remoting	Radar	63	10,11
Experimental	Radar	64	10,11
Cyberspace	Capability	65	10,11
50 SIGINT	2	10,11
Unspecified		0	10,11
Cyberspace	Capability	1	10,11
60 Cyberspace	1	10,11
Unspecified		0	10,11
60 Cyberspace	2	10,11
Unspecified		0	10,11
